"Label (field, property, attribute)",Main Color,Secondary Color,Overall Silhouette,Structure Neckline,Structure Torso,Structure Sleeves,Structure Sleeve Length,Structure Waist,Structure Waist Shape,Structure Skirt,Structure Pants,Structure Hem,Structure Lining,Structure Cut,Closure Type,Closure Placement,Socio-Economic Class,Gender,Age,Function,Condition Term,Material,Technique,Shawl Shape,Shawl Design Features,Shawl Border Type,Record Type
,gold,gold,fit and flare,Chelsea collar,back yoke,,long,Empire / under bust,no waistline,flared,palazzo,mid calf,skirt fully lined,,center back,,elite,,,party,,acrylic,embossing,,assymetrical motifs,,
,gray,gray,hourglass,convertible collar,back yoke with gathers,cowl,extra long,high,,flounced,pedal-pusher,mid-thigh,skirt partially lined ,,double-breasted,,upper middle,,,graduation,,angora,embroidery,,,,
,green,green,jumper,cowl,bloused front (pigeon breast),criss-cross straps,hanging,hip-level,,gathered,short-shorts / hot pants,midi,waist tape,,neck,,middle,,,wedding,,camel,flocking,,,,
,lavender,lavender,mantua,,bust darts,dolman,,natural,,,shorts,ruffled,,,off-center front,,lower middle,,,sporting,,cashmere,glazing,,,,
,maroon,maroon,pinafore,crew,front yoke,elbow length,,no waistline,,handkerchief,toreador,train,,,off-center back,,working,,,mourning,,hemp ,knitting,,,,
,multi,multi,Polonaise,funnel collar,front yoke with gathers,elbow dart,,,,layered,,varied,,,side,,poor,,,,,microfiber,lace making,,,,
,navy,navy,princess,gathered collar,gathered,elbow gathers,,pointed,,no seam at center back,,,,,,,slave,,,,,mohair,,,,,
,orange,orange,robe a l'Anglaise,halter,no darts/seams,extra long,,,,peg-top,,,,,,,,,,,,nylon,mercerizing,,,,
,pink,pink,robe a la Francaise / Watteau back,henley,other darts,fitted,,straight,,pegged/tapered,,,,,,,,,,,,polyester,needlepoint,,,,
,purple,purple,round gown,hood,other pleats,hanging,,wrap,,peplum,,,,,,,,,,,,ramie,painting,,,,
,red,red,S-curve,inset,other seams,Juliet,,,,prairie,,,,,,,,,,,,rayon,piecing,,,,
,rust,rust,sheath,jabot collar,princess seams,kimono,,,,sarong,,,,,,,,,,,,spandex,piping,,,,
,tan,tan,shirtwaist,jewel,,lantern,,,,seam at center back,,,,,,,,,,,,,pleating,,,,
,teal,teal,slip,keyhole,shoulder darts,layered,,,,straight,,,,,,,,,,,,plain weave,polishing,,,,
,turquoise,turquoise,tent / trapeze,layered,shoulder pleats,leg-o-mutton,,,,swagged,,,,,,,,,,,,basket weave,printing,,,,
,white,white,toga,Mandarin / Chinese / cadet collar,side seams only,long,,,,tiered,,,,,,,,,,,,double-weave,quilting,,,,
,yellow,yellow,tunic,Napoleon,topless,petal,,,,trumpet,,,,,,,,,,,,jacquard,ruffling,,,,
,,,wrap,off the shoulder,trapeze,puff,,,,yoked,,,,,,,,,,,,damask,smocking,,,,
,,,,peaked lapel collar,waist darts-front,racerback straps,,,,,,,,,,,,,,,,brocade,hand weaving,,,,
,,,,Peter Pan collar,waist pleats,raglan,,,,,,,,,,,,,,,,satin weave,drawloom,,,,
,,,,polo collar,waist-darts-back,roll-up,,,,,,,,,,,,,,,,rib weave,,,,,
,,,,portrait collar,wrap,sections/panes,,,,,,,,,,,,,,,,matelasse,,,,,
,,,,Puritan collar,yoke,shirt,,,,,,,,,,,,,,,,felt,,,,,
,,,,Queen Anne / high collar,yoke with gathers,short,,,,,,,,,,,,,,,,twill weave,,,,,
,,,,round,,spaghetti/camisole straps,,,,,,,,,,,,,,,,dobby weave,,,,,
,,,,ruffled collar,,strapless,,,,,,,,,,,,,,,,looped pile,,,,,
,,,,sailor / middy collar,,tank,,,,,,,,,,,,,,,,sheared pile,,,,,
,,,,scoop,,three-quarter length,,,,,,,,,,,,,,,,knit,,,,,
,,,,shawl collar,,wide straps,,,,,,,,,,,,,,,,rib knit,,,,,
,,,,square,,,,,,,,,,,,,,,,,,crochet,,,,,
,,,,strapless,,,,,,,,,,,,,,,,,,lace,,,,,
,,,,sweetheart,,,,,,,,,,,,,,,,,,taffeta,,,,,
,,,,turtleneck collar,,,,,,,,,,,,,,,,,,chiffon,,,,,
,,,,v-neck,,,,,,,,,,,,,,,,,,georgette,,,,,
,,,,wingtip collar,,,,,,,,,,,,,,,,,,velvet,,,,,
,,,,,,,,,,,,,,,,,,,,,,glass,,,,,
,,,,,,,,,,,,,,,,,,,,,,plastic,,,,,
,,,,,,,,,,,,,,,,,,,,,,wood,,,,,
,,,,,,,,,,,,,,,,,,,,,,shell,,,,,
,,,,,,,,,,,,,,,,,,,,,,metal,,,,,
